,observation_date,C&I_DELNQ,CCARD_CO,CCARD_DELNQ,CORP_DEBT_NET_WORTH,CORP_SAVINGS_LEVEL,CRE_CO,CRE_DELNQ,GDP,Homeowner_Vacancy_rate,Household_DBT_Inc,Mortgage_CO,Mortgage_DELNQ,Rental_Vacancy_Rate,Consumer_Confidence,FEDFUNDS,Manufacturing_Confidence,SAVINGS_RATE_MO,UNRATE,C&I_CO
0,1991-01-01,6.29,4.16,5.26,46.132963946,77.964,1.4,12.08,-1.9,1.7,11.578032,0.2,3.09,7.5,66.8,6.91,96.9517447535818,9.4,6.4,1.48
1,1991-02-01,6.29,4.16,5.26,46.132963946,77.964,1.4,12.08,-1.9,1.7,11.578032,0.2,3.09,7.5,70.4,6.25,96.9728958490786,9.0,6.6,1.48
2,1991-03-01,6.29,4.16,5.26,46.132963946,77.964,1.4,12.08,-1.9,1.7,11.578032,0.2,3.09,7.5,87.7,6.12,97.2234247675954,8.1,6.8,1.48
3,1991-04-01,6.41,4.6,5.48,46.2895786197,81.294,1.67,11.82,3.2,1.8,11.434237,0.18,3.18,7.3,81.8,5.91,97.6780485419579,8.7,6.7,1.87
4,1991-05-01,6.41,4.6,5.48,46.2895786197,81.294,1.67,11.82,3.2,1.8,11.434237,0.18,3.18,7.3,78.3,5.78,98.2922608238224,8.5,6.9,1.87
5,1991-06-01,6.41,4.6,5.48,46.2895786197,81.294,1.67,11.82,3.2,1.8,11.434237,0.18,3.18,7.3,82.1,5.9,99.0148622248639,9.0,6.9,1.87
6,1991-07-01,6.22,4.84,5.35,46.4282817968,84.043,1.86,11.42,2.0,1.8,11.318681,0.19,3.22,7.6,82.9,5.82,99.5519204141668,8.4,6.8,1.97
7,1991-08-01,6.22,4.84,5.35,46.4282817968,84.043,1.86,11.42,2.0,1.8,11.318681,0.19,3.22,7.6,82.0,5.66,99.9344038934651,8.7,6.9,1.97
8,1991-09-01,6.22,4.84,5.35,46.4282817968,84.043,1.86,11.42,2.0,1.8,11.318681,0.19,3.22,7.6,83.0,5.45,100.047860110061,8.9,6.9,1.97
9,1991-10-01,6.03,4.62,5.32,45.8085173213,77.581,2.48,11.6,1.4,1.6,11.117333,0.2,3.28,7.3,78.3,5.21,99.7615769612267,9.4,7.0,1.83
